,datetime,open,high,low,close,volume,hold
351,2025-07-01 21:19:00,5010.0,5012.0,5006.0,5010.0,2224,217853
352,2025-07-01 21:20:00,5012.0,5014.0,5010.0,5012.0,1045,217955
353,2025-07-01 21:21:00,5012.0,5016.0,5010.0,5016.0,1673,218035
354,2025-07-01 21:22:00,5016.0,5018.0,5014.0,5016.0,828,217840
355,2025-07-01 21:23:00,5016.0,5016.0,5014.0,5016.0,386,217976
356,2025-07-01 21:24:00,5016.0,5018.0,5012.0,5012.0,891,218238
357,2025-07-01 21:25:00,5012.0,5014.0,5010.0,5010.0,972,218346
358,2025-07-01 21:26:00,5012.0,5012.0,5010.0,5012.0,581,218485
359,2025-07-01 21:27:00,5012.0,5016.0,5010.0,5014.0,1822,218662
360,2025-07-01 21:28:00,5014.0,5018.0,5014.0,5016.0,727,218667
361,2025-07-01 21:29:00,5016.0,5016.0,5014.0,5014.0,312,218691
362,2025-07-01 21:30:00,5014.0,5016.0,5012.0,5016.0,549,218936
363,2025-07-01 21:31:00,5016.0,5018.0,5014.0,5016.0,691,219060
364,2025-07-01 21:32:00,5016.0,5018.0,5014.0,5014.0,288,219052
365,2025-07-01 21:33:00,5014.0,5016.0,5014.0,5014.0,147,219044
366,2025-07-01 21:34:00,5014.0,5016.0,5012.0,5014.0,932,219153
367,2025-07-01 21:35:00,5014.0,5016.0,5014.0,5016.0,692,219244
368,2025-07-01 21:36:00,5016.0,5016.0,5014.0,5016.0,383,219293
369,2025-07-01 21:37:00,5016.0,5016.0,5014.0,5016.0,59,219282
370,2025-07-01 21:38:00,5016.0,5016.0,5014.0,5014.0,146,219287
371,2025-07-01 21:39:00,5014.0,5016.0,5012.0,5012.0,676,219300
372,2025-07-01 21:40:00,5012.0,5014.0,5012.0,5012.0,206,219361
373,2025-07-01 21:41:00,5012.0,5016.0,5012.0,5014.0,295,219380
374,2025-07-01 21:42:00,5014.0,5016.0,5014.0,5014.0,190,219368
375,2025-07-01 21:43:00,5016.0,5018.0,5014.0,5018.0,496,219459
376,2025-07-01 21:44:00,5018.0,5018.0,5016.0,5018.0,283,219418
377,2025-07-01 21:45:00,5018.0,5018.0,5016.0,5016.0,230,219341
378,2025-07-01 21:46:00,5018.0,5024.0,5016.0,5024.0,2510,218849
379,2025-07-01 21:47:00,5024.0,5032.0,5024.0,5032.0,4507,217441
380,2025-07-01 21:48:00,5030.0,5032.0,5026.0,5028.0,2103,217184
381,2025-07-01 21:49:00,5030.0,5030.0,5028.0,5030.0,932,217255
382,2025-07-01 21:50:00,5030.0,5034.0,5028.0,5030.0,1847,217063
383,2025-07-01 21:51:00,5032.0,5032.0,5028.0,5030.0,1175,217048
384,2025-07-01 21:52:00,5030.0,5030.0,5026.0,5026.0,1047,217061
385,2025-07-01 21:53:00,5028.0,5030.0,5026.0,5028.0,481,217117
386,2025-07-01 21:54:00,5028.0,5030.0,5028.0,5030.0,555,216915
387,2025-07-01 21:55:00,5030.0,5032.0,5028.0,5030.0,834,216935
388,2025-07-01 21:56:00,5030.0,5030.0,5028.0,5028.0,117,216959
389,2025-07-01 21:57:00,5028.0,5030.0,5028.0,5030.0,167,216936
390,2025-07-01 21:58:00,5030.0,5032.0,5028.0,5030.0,710,217120
391,2025-07-01 21:59:00,5032.0,5032.0,5026.0,5026.0,970,216987
392,2025-07-01 22:00:00,5026.0,5030.0,5026.0,5030.0,543,217143
393,2025-07-01 22:01:00,5028.0,5030.0,5028.0,5028.0,468,217121
394,2025-07-01 22:02:00,5028.0,5030.0,5028.0,5028.0,573,217234
395,2025-07-01 22:03:00,5028.0,5030.0,5026.0,5026.0,414,217260
396,2025-07-01 22:04:00,5026.0,5028.0,5024.0,5026.0,993,217226
397,2025-07-01 22:05:00,5026.0,5026.0,5022.0,5026.0,674,217259
398,2025-07-01 22:06:00,5024.0,5026.0,5020.0,5022.0,1108,217237
399,2025-07-01 22:07:00,5022.0,5026.0,5020.0,5026.0,894,217273
400,2025-07-01 22:08:00,5026.0,5028.0,5024.0,5028.0,548,217225
401,2025-07-01 22:09:00,5028.0,5028.0,5026.0,5026.0,137,217255
402,2025-07-01 22:10:00,5026.0,5030.0,5026.0,5028.0,854,217411
403,2025-07-01 22:11:00,5028.0,5028.0,5026.0,5028.0,126,217384
404,2025-07-01 22:12:00,5028.0,5028.0,5026.0,5028.0,392,217460
405,2025-07-01 22:13:00,5028.0,5030.0,5026.0,5030.0,422,217467
406,2025-07-01 22:14:00,5030.0,5030.0,5026.0,5028.0,170,217544
407,2025-07-01 22:15:00,5028.0,5028.0,5026.0,5028.0,122,217528
408,2025-07-01 22:16:00,5028.0,5028.0,5024.0,5026.0,636,217293
409,2025-07-01 22:17:00,5026.0,5028.0,5024.0,5026.0,198,217310
410,2025-07-01 22:18:00,5026.0,5028.0,5024.0,5026.0,875,217257
411,2025-07-01 22:19:00,5026.0,5028.0,5026.0,5026.0,267,217207
412,2025-07-01 22:20:00,5026.0,5028.0,5026.0,5028.0,85,217188
413,2025-07-01 22:21:00,5028.0,5028.0,5026.0,5028.0,47,217176
414,2025-07-01 22:22:00,5028.0,5030.0,5026.0,5028.0,676,217166
415,2025-07-01 22:23:00,5028.0,5028.0,5026.0,5026.0,609,217112
416,2025-07-01 22:24:00,5026.0,5028.0,5026.0,5026.0,249,217159
417,2025-07-01 22:25:00,5026.0,5028.0,5026.0,5026.0,28,217161
418,2025-07-01 22:26:00,5028.0,5030.0,5026.0,5030.0,123,217049
419,2025-07-01 22:27:00,5030.0,5030.0,5028.0,5028.0,57,217054
420,2025-07-01 22:28:00,5028.0,5030.0,5028.0,5030.0,438,216945
421,2025-07-01 22:29:00,5030.0,5030.0,5028.0,5030.0,149,216905
422,2025-07-01 22:30:00,5028.0,5030.0,5026.0,5026.0,697,216873
423,2025-07-01 22:31:00,5028.0,5028.0,5026.0,5028.0,83,216881
424,2025-07-01 22:32:00,5026.0,5026.0,5024.0,5026.0,650,216959
425,2025-07-01 22:33:00,5026.0,5028.0,5026.0,5026.0,126,216930
426,2025-07-01 22:34:00,5026.0,5028.0,5026.0,5026.0,447,216915
427,2025-07-01 22:35:00,5026.0,5028.0,5024.0,5024.0,320,216911
428,2025-07-01 22:36:00,5024.0,5026.0,5024.0,5024.0,46,216892
429,2025-07-01 22:37:00,5024.0,5026.0,5024.0,5026.0,123,216885
430,2025-07-01 22:38:00,5026.0,5028.0,5024.0,5026.0,382,216704
431,2025-07-01 22:39:00,5026.0,5030.0,5026.0,5026.0,967,216797
432,2025-07-01 22:40:00,5026.0,5030.0,5026.0,5028.0,341,216777
433,2025-07-01 22:41:00,5026.0,5030.0,5026.0,5030.0,288,216632
434,2025-07-01 22:42:00,5030.0,5030.0,5026.0,5028.0,287,216689
435,2025-07-01 22:43:00,5028.0,5028.0,5026.0,5028.0,118,216652
436,2025-07-01 22:44:00,5028.0,5028.0,5024.0,5024.0,923,216602
437,2025-07-01 22:45:00,5024.0,5026.0,5024.0,5024.0,132,216612
438,2025-07-01 22:46:00,5024.0,5028.0,5024.0,5026.0,322,216470
439,2025-07-01 22:47:00,5026.0,5028.0,5024.0,5026.0,169,216483
440,2025-07-01 22:48:00,5026.0,5028.0,5024.0,5028.0,292,216508
441,2025-07-01 22:49:00,5026.0,5028.0,5026.0,5026.0,74,216510
442,2025-07-01 22:50:00,5026.0,5030.0,5026.0,5028.0,915,216395
443,2025-07-01 22:51:00,5028.0,5030.0,5028.0,5028.0,262,216420
444,2025-07-01 22:52:00,5028.0,5030.0,5028.0,5030.0,78,216353
445,2025-07-01 22:53:00,5028.0,5030.0,5026.0,5026.0,324,216322
446,2025-07-01 22:54:00,5026.0,5030.0,5026.0,5028.0,357,216122
