,Open,High,Low,Close,Volume
12/05/2025 11:00,42,44,46,46,-6423
12/05/2025 11:15,46,48,52,52,665
12/05/2025 11:30,52,52,60,62,28682
12/05/2025 13:45,62,50,56,52,1210
12/05/2025 14:00,52,60,52,60,763
12/05/2025 14:15,60,62,60,62,1049
12/05/2025 14:30,62,64,60,66,2323
12/05/2025 14:45,66,72,64,70,4070
12/05/2025 15:00,70,70,70,64,3651
12/05/2025 21:15,40,72,66,70,19996
12/05/2025 21:30,72,74,80,82,7355
12/05/2025 21:45,82,84,84,84,2459
12/05/2025 22:00,84,86,82,84,2633
12/05/2025 22:15,84,88,84,88,1290
12/05/2025 22:30,88,88,86,86,708
12/05/2025 22:45,86,86,86,86,2661
12/05/2025 23:00,86,78,92,76,890
13/05/2025 09:15,74,74,76,78,5723
13/05/2025 09:30,78,78,76,80,1971
13/05/2025 09:45,80,80,80,82,2803
13/05/2025 10:00,82,82,82,80,2227
13/05/2025 10:15,80,82,80,78,2150
13/05/2025 10:45,78,80,76,80,1816
13/05/2025 11:00,80,80,78,78,269
13/05/2025 11:15,78,80,78,78,1076
13/05/2025 11:30,78,80,78,76,609
13/05/2025 13:45,76,76,72,74,816
13/05/2025 14:00,74,72,68,74,2354
13/05/2025 14:15,74,72,68,70,2662
13/05/2025 14:30,70,74,68,74,1791
13/05/2025 14:45,74,74,70,74,2708
13/05/2025 15:00,74,74,72,74,86198
13/05/2025 21:15,60,76,70,72,5299
13/05/2025 21:30,72,72,70,72,1212
13/05/2025 21:45,72,70,68,68,978
13/05/2025 22:00,68,70,70,72,1023
13/05/2025 22:15,72,74,72,72,1056
13/05/2025 22:30,72,70,72,72,1565
13/05/2025 22:45,70,76,70,72,3606
13/05/2025 23:00,72,72,72,70,1766
14/05/2025 09:15,72,74,76,70,8792
14/05/2025 09:30,70,74,76,80,2125
14/05/2025 09:45,80,82,74,86,2772
14/05/2025 10:00,86,92,86,90,1641
14/05/2025 10:15,90,90,88,86,1973
14/05/2025 10:45,86,88,82,82,755
14/05/2025 11:00,82,80,80,76,1556
14/05/2025 11:15,76,80,78,84,1262
14/05/2025 11:30,84,84,84,84,-9207
14/05/2025 13:45,84,84,84,84,1233
14/05/2025 14:00,84,84,82,82,998
14/05/2025 14:15,82,84,82,82,1402
14/05/2025 14:30,82,80,84,84,949
14/05/2025 14:45,84,84,82,84,2182
14/05/2025 15:00,84,88,84,86,2817
14/05/2025 21:15,66,72,80,86,6240
14/05/2025 21:30,86,80,84,80,1619
14/05/2025 21:45,80,82,82,82,1017
14/05/2025 22:00,82,86,80,82,586
14/05/2025 22:15,82,82,82,84,616
14/05/2025 22:30,82,82,82,80,492
14/05/2025 22:45,82,84,82,84,209
14/05/2025 23:00,84,86,86,88,425
15/05/2025 09:15,82,84,80,86,4357
15/05/2025 09:30,88,90,86,90,5208
